TaskID,EmployeeNumber,TaskType,RequestDate,ResolvedDate,SLA_Hours,Actual_Hours,Status,Priority
T942228,1746,Policy Query,2024-05-04,2024-05-05,24,42,Completed,Low
T355762,1865,Onboarding,2024-01-11,2024-01-12,24,32,Completed,High
T254836,1858,Exit Interview,2024-06-13,2024-06-13,24,16,In Progress,Low
T680880,1794,Policy Query,2024-03-04,2024-03-05,24,38,In Progress,Low
T793900,734,Exit Interview,2024-08-08,2024-08-08,24,18,In Progress,Low
T637382,470,Leave Request,2024-04-23,2024-04-26,72,90,In Progress,High
T727467,1499,Exit Interview,2024-04-23,2024-04-23,24,17,In Progress,Low
T930975,1818,Exit Interview,2024-03-24,2024-03-24,24,16,In Progress,High
T647269,665,Exit Interview,2024-06-02,2024-06-02,24,15,In Progress,Medium
T736799,1049,Leave Request,2024-04-01,2024-04-01,24,15,In Progress,High
T381983,1794,Exit Interview,2024-09-07,2024-09-09,48,61,Escalated,Low
T996607,1625,Onboarding,2024-05-14,2024-05-16,48,56,In Progress,Medium
T207339,847,Exit Interview,2024-03-12,2024-03-12,24,23,In Progress,Medium
T390680,910,Leave Request,2024-09-18,2024-09-19,24,39,Completed,Medium
T210406,1844,Onboarding,2024-03-19,2024-03-19,24,20,Completed,Low
T854346,1049,Exit Interview,2024-07-22,2024-07-23,24,44,In Progress,High
T336391,847,Exit Interview,2024-06-07,2024-06-09,72,64,Completed,Medium
T321717,1642,Policy Query,2024-10-15,2024-10-18,72,90,Completed,Medium
T867592,1563,Policy Query,2024-01-13,2024-01-16,72,77,Completed,Medium
T268408,1746,Exit Interview,2024-07-04,2024-07-05,24,39,In Progress,Low
T958094,1314,Leave Request,2024-10-12,2024-10-14,72,64,In Progress,Low
T154485,1461,Policy Query,2024-11-16,2024-11-16,24,20,In Progress,Medium
T533619,140,Onboarding,2024-01-25,2024-01-27,72,65,Completed,Medium
T153995,1563,Policy Query,2024-06-05,2024-06-07,72,62,Completed,High
T726641,829,Onboarding,2024-01-02,2024-01-04,72,69,In Progress,Low
T416444,1642,Leave Request,2024-10-07,2024-10-09,48,48,In Progress,Medium
T133523,1973,Leave Request,2024-01-08,2024-01-10,48,68,In Progress,Medium
T588981,909,Onboarding,2024-08-03,2024-08-04,24,30,Completed,Low
T373014,644,Onboarding,2024-01-08,2024-01-08,24,22,In Progress,Medium
T990753,1289,Leave Request,2024-09-08,2024-09-11,72,90,In Progress,High
T360226,1858,Leave Request,2024-01-12,2024-01-12,24,20,In Progress,Medium
T756981,1805,Exit Interview,2024-09-18,2024-09-20,48,65,In Progress,Medium
T694116,1746,Leave Request,2024-02-23,2024-02-23,24,19,Completed,High
T938590,1625,Policy Query,2024-09-07,2024-09-09,48,52,In Progress,Low
T375940,1352,Onboarding,2024-12-12,2024-12-13,24,34,Escalated,Low
T551449,1744,Leave Request,2024-11-25,2024-11-26,48,40,Completed,Medium
T933460,140,Leave Request,2024-09-17,2024-09-17,24,23,Completed,Low
T924202,1550,Exit Interview,2024-07-03,2024-07-05,48,56,In Progress,Low
T734783,1944,Exit Interview,2024-05-24,2024-05-25,48,44,In Progress,Medium
T370204,103,Onboarding,2024-09-26,2024-09-26,24,17,Completed,Medium
T209304,1289,Leave Request,2024-05-25,2024-05-27,48,48,In Progress,High
T436729,177,Exit Interview,2024-06-25,2024-06-26,24,43,Escalated,Low
T316858,608,Onboarding,2024-06-21,2024-06-24,72,89,In Progress,Low
T540670,1865,Exit Interview,2024-08-07,2024-08-07,24,16,Completed,Low
T198411,1499,Policy Query,2024-10-15,2024-10-16,48,40,Escalated,Medium
T877829,1314,Onboarding,2024-04-20,2024-04-23,72,78,In Progress,High
T362352,1207,Leave Request,2024-03-10,2024-03-13,72,92,Completed,Low
T295705,321,Onboarding,2024-01-06,2024-01-08,72,69,Completed,High
T268107,1778,Exit Interview,2024-01-13,2024-01-14,24,28,Escalated,Low
T737708,424,Exit Interview,2024-07-28,2024-07-30,48,50,In Progress,Low
T245562,1972,Policy Query,2024-06-03,2024-06-05,48,54,Completed,Medium
T278464,1207,Onboarding,2024-06-10,2024-06-11,48,44,In Progress,Low
T780556,869,Exit Interview,2024-02-16,2024-02-18,72,62,In Progress,Low
T592103,869,Policy Query,2024-02-19,2024-02-20,24,28,In Progress,Medium
T484282,1842,Exit Interview,2024-02-10,2024-02-12,48,56,In Progress,Low
T114904,734,Leave Request,2024-07-02,2024-07-03,48,38,In Progress,Medium
T657985,829,Onboarding,2024-07-28,2024-07-30,72,68,Escalated,Low
T137876,1499,Onboarding,2024-06-14,2024-06-16,48,58,In Progress,Low
T580389,1805,Exit Interview,2024-07-20,2024-07-21,24,42,In Progress,Medium
T426255,1944,Onboarding,2024-04-22,2024-04-24,48,60,In Progress,Medium
T605957,869,Exit Interview,2024-12-26,2024-12-29,72,75,In Progress,Low
T930827,1314,Leave Request,2024-04-22,2024-04-24,48,58,Completed,Low
T546292,177,Exit Interview,2024-05-07,2024-05-08,24,42,Escalated,Low
T874099,1289,Leave Request,2024-09-14,2024-09-14,24,18,Escalated,Low
T804927,1550,Exit Interview,2024-03-20,2024-03-22,48,55,In Progress,Low
T284994,470,Policy Query,2024-08-03,2024-08-04,24,29,In Progress,Low
T581860,148,Policy Query,2024-08-18,2024-08-21,72,85,In Progress,Medium
T646596,869,Leave Request,2024-06-06,2024-06-08,48,52,Completed,Low
T565938,1805,Onboarding,2024-06-13,2024-06-15,48,57,Completed,Low
T742473,1467,Policy Query,2024-05-10,2024-05-11,24,24,In Progress,Medium
T805946,424,Leave Request,2024-01-14,2024-01-15,24,24,In Progress,Medium
T216913,1338,Onboarding,2024-12-14,2024-12-15,24,31,In Progress,Medium
T207610,424,Exit Interview,2024-07-02,2024-07-04,48,63,Escalated,Medium
T446088,1563,Leave Request,2024-08-28,2024-08-30,48,63,In Progress,High
T618554,1865,Exit Interview,2024-10-23,2024-10-24,24,40,Escalated,Medium
T915724,1747,Leave Request,2024-08-02,2024-08-03,48,44,In Progress,Low
T340044,1746,Policy Query,2024-03-10,2024-03-11,48,41,Completed,Low
T677597,133,Exit Interview,2024-09-11,2024-09-14,72,72,Escalated,High
T873554,608,Policy Query,2024-12-08,2024-12-10,72,70,Escalated,Low
T937170,1563,Onboarding,2024-01-02,2024-01-03,24,28,In Progress,Medium
T776323,1550,Leave Request,2024-12-26,2024-12-26,24,21,In Progress,High
T668301,133,Policy Query,2024-09-09,2024-09-11,48,61,In Progress,High
T962732,1563,Policy Query,2024-09-11,2024-09-13,72,68,In Progress,High
T650985,1314,Exit Interview,2024-08-21,2024-08-22,24,29,In Progress,High
T702060,1098,Leave Request,2024-05-24,2024-05-27,72,77,In Progress,Low
T829537,1865,Leave Request,2024-08-12,2024-08-14,72,62,In Progress,Medium
T871005,1858,Leave Request,2024-04-20,2024-04-22,72,62,Completed,High
T975165,1563,Policy Query,2024-10-21,2024-10-22,24,32,Escalated,Low
T653718,1563,Exit Interview,2024-02-27,2024-02-28,48,39,In Progress,High
T606052,1858,Exit Interview,2024-08-14,2024-08-17,72,84,Completed,Medium
T484963,1338,Onboarding,2024-09-06,2024-09-09,72,90,In Progress,High
T686082,1049,Exit Interview,2024-07-28,2024-07-29,48,38,Escalated,Medium
T845504,177,Leave Request,2024-03-04,2024-03-05,24,44,Escalated,High
T874136,1152,Policy Query,2024-03-11,2024-03-13,48,56,Completed,High
T793126,566,Exit Interview,2024-09-09,2024-09-12,72,78,In Progress,Low
T707987,1987,Exit Interview,2024-11-28,2024-11-29,48,42,Escalated,Low
T891854,1164,Onboarding,2024-01-11,2024-01-11,24,15,In Progress,High
T271217,1419,Onboarding,2024-04-19,2024-04-20,24,33,In Progress,Medium
T553849,1722,Onboarding,2024-01-07,2024-01-07,24,15,Escalated,Low
T914054,1778,Onboarding,2024-08-15,2024-08-17,72,64,In Progress,Low
T800372,1642,Onboarding,2024-08-28,2024-08-31,72,92,Escalated,Low
T660582,760,Leave Request,2024-09-25,2024-09-27,48,49,In Progress,Low
T341274,470,Leave Request,2024-11-04,2024-11-05,24,35,Completed,Low
T575037,1289,Leave Request,2024-09-07,2024-09-09,72,64,Completed,Low
T140489,1987,Exit Interview,2024-10-12,2024-10-15,72,79,Escalated,Low
T264238,1563,Onboarding,2024-05-27,2024-05-27,24,19,Escalated,Medium
T441677,1683,Policy Query,2024-07-10,2024-07-12,48,53,In Progress,Medium
